iter	Passed	Remaining
0	212	212737
1	334	167121
2	456	151857
3	580	144666
4	705	140381
5	828	137310
6	950	134869
7	1075	133405
8	1198	131931
9	1319	130660
10	1448	130268
11	1571	129425
12	1694	128623
13	1815	127891
14	1950	128079
15	2079	127919
16	2202	127338
17	2327	126961
18	2482	128183
19	2624	128585
20	2757	128553
21	2882	128162
22	3006	127712
23	3130	127308
24	3265	127359
25	3397	127257
26	3521	126902
27	3652	126796
28	3787	126801
29	3913	126524
30	4037	126191
31	4165	125995
32	4289	125688
33	4413	125398
34	4536	125088
35	4661	124811
36	4784	124526
37	4907	124243
38	5032	124010
39	5183	124395
40	5305	124096
41	5430	123866
42	5556	123669
43	5680	123429
44	5806	123223
45	5928	122949
46	6051	122701
47	6174	122467
48	6297	122228
49	6424	122071
50	6547	121839
51	6671	121635
52	6796	121446
53	6921	121259
54	7050	121139
55	7172	120912
56	7296	120714
57	7420	120524
58	7543	120315
59	7666	120110
60	7790	119920
61	7914	119740
62	8066	119978
63	8190	119784
64	8317	119639
65	8440	119443
66	8565	119270
67	8688	119089
68	8813	118914
69	8936	118733
70	9060	118550
71	9184	118374
72	9310	118232
73	9435	118074
74	9559	117905
75	9684	117738
76	9808	117572
77	9936	117456
78	10060	117289
79	10185	117136
80	10310	116983
81	10434	116812
82	10558	116651
83	10681	116482
84	10806	116327
85	10930	116173
86	11056	116031
87	11187	115939
88	11320	115871
89	11453	115811
90	11589	115767
91	11725	115730
92	11861	115684
93	11997	115631
94	12133	115583
95	12269	115537
96	12406	115493
97	12542	115445
98	12679	115397
99	12815	115337
100	12952	115293
101	13087	115224
102	13222	115153
103	13359	115094
104	13495	115033
105	13632	114978
106	13769	114916
107	13904	114844
108	14040	114772
109	14177	114711
110	14313	114636
111	14450	114571
112	14586	114498
113	14724	114434
114	14859	114354
115	14995	114273
116	15131	114194
117	15270	114139
118	15406	114056
119	15540	113967
120	15677	113886
121	15814	113811
122	15950	113727
123	16086	113640
124	16220	113543
125	16355	113450
126	16490	113357
127	16624	113253
128	16759	113157
129	16894	113060
130	17028	112958
131	17163	112863
132	17298	112762
133	17432	112663
134	17571	112586
135	17707	112494
136	17844	112404
137	17978	112300
138	18130	112304
139	18260	112173
140	18391	112046
141	18525	111938
142	18658	111822
143	18792	111712
144	18926	111603
145	19060	111489
146	19195	111386
147	19333	111299
148	19468	111189
149	19603	111084
150	19737	110976
151	19873	110875
152	20010	110777
153	20144	110665
154	20278	110551
155	20413	110444
156	20547	110330
157	20682	110216
158	20817	110109
159	20951	109995
160	21086	109887
161	21221	109777
162	21358	109674
163	21491	109556
164	21627	109449
165	21762	109336
166	21897	109223
167	22031	109109
168	22165	108990
169	22299	108872
170	22432	108753
